Postcode,Year,SchName,ATT8SCR,URN,Town,SchoolType,SchLevel,OFSTEDRATING,County
BS9 4LR,2023,Claremont School,SUPP,109391,Bristol,Community special school,Primary,Good,City of Bristol
BS8 3EZ,2023,Clifton College,27.2,109334,Bristol,Other independent school,Primary,Good,City of Bristol
BS8 3JD,2023,Clifton High School,27.8,109335,Bristol,Other independent school,Primary,Good,City of Bristol
BS16 1BJ,2023,Collegiate School,67.7,109336,Bristol,Other independent school,Primary,Good,City of Bristol
BS6 6DT,2023,Cotham School,47.4,137440,Bristol,Academy converter,Secondary,Good,City of Bristol
BS7 0PU,2023,Elmfield School for Deaf Children,2.3,109385,Bristol,Community special school,Primary,Good,City of Bristol
BS7 9NL,2023,Fairfield High School,45.5,141705,Bristol,Academy converter,Secondary,Good,City of Bristol
BS9 3PE,2023,Grace Garden School,SUPP,148394,Bristol,Other independent special school,Primary,Good,City of Bristol
BS11 0UT,2023,Kingsweston School,13.7,109386,Bristol,Community special school,Primary,Good,City of Bristol
BS3 4AG,2023,LPW Independent School,0.8,137583,Bristol,Other independent school,Secondary,Good,City of Bristol
BS13 9AJ,2023,Merchants' Academy,29.3,135597,Bristol,Academy sponsor led,Primary,Requires improvement,City of Bristol
BS6 5RD,2023,Montpelier High School,57.5,135581,Bristol,Academy sponsor led,Secondary,Serious Weaknesses,City of Bristol
BS13 0RG,2023,New Fosseway School,NE,109393,Bristol,Foundation special school,Primary,Good,City of Bristol
BS11 0QA,2023,North Star 240°,7.9,148322,Bristol,Academy special converter,Secondary,Good,City of Bristol
BS11 0EB,2023,Oasis Academy Brightstowe,37.4,135671,Bristol,Academy sponsor led,Secondary,Good,City of Bristol
BS4 5EY,2023,Oasis Academy Brislington,43.3,141652,Bristol,Academy sponsor led,Secondary,Good,City of Bristol
BS14 9BU,2023,Oasis Academy John Williams,39.7,135663,Bristol,Academy sponsor led,Secondary,Good,City of Bristol
BS7 0XZ,2023,Orchard School Bristol,39.8,138448,Bristol,Academy sponsor led,Secondary,Good,City of Bristol
BS8 1JX,2023,Queen Elizabeth's Hospital,35.7,109370,Bristol,Other independent school,Primary,Good,City of Bristol
BS6 7EH,2023,Redland Green School,60.6,138855,Bristol,Academy converter,Secondary,Good,City of Bristol
BS9 3AW,2023,Redmaids' High School,30.9,109371,Bristol,Other independent school,Primary,Good,City of Bristol
BS11 0SU,2023,St Bede's Catholic College,57.8,137627,Bristol,Academy converter,Secondary,Good,City of Bristol
BS14 9LS,2023,St Bernadette Catholic Secondary School,45.0,109331,Bristol,Voluntary aided school,Secondary,Good,City of Bristol
BS1 6RT,2023,St Mary Redcliffe and Temple School,54.4,109327,Bristol,Voluntary aided school,Secondary,Outstanding,City of Bristol
BS13 9AX,2023,Venturers' Academy,NE,142780,Bristol,Free schools special,Primary,Good,City of Bristol
