Postcode,Year,SchName,ATT8SCR,URN,Town,SchoolType,SchLevel,OFSTEDRATING,County
PL12 4AE,2023,Fountain Head House School,SUPP,148497,Cornwall,Other independent special school,Primary,Good,Cornwall
PL23 1HE,2023,Fowey River Academy,39.6,140836,Fowey,Academy sponsor led,Secondary,Requires improvement,Cornwall
TR27 4DN,2023,Hayle Academy,38.6,145211,Hayle,Academy converter,Secondary,Good,Cornwall
TR13 8NR,2023,Helston Community College,44.2,143981,Helston,Academy converter,Primary,Good,Cornwall
TR18 2TG,2023,Humphry Davy School,42.8,112067,Penzance,Foundation school,Secondary,Good,Cornwall
PL15 9JR,2023,Launceston College,45.1,139155,Launceston,Academy converter,Secondary,Good,Cornwall
PL14 3EA,2023,Liskeard School and Community College,40.9,144291,Liskeard,Academy converter,Secondary,Good,Cornwall
PL13 1NQ,2023,Looe Community Academy,41.2,137839,Looe,Academy converter,Secondary,Good,Cornwall
PL18 9NS,2023,The Lowen School,SUPP,148342,Gunnislake,Other independent special school,Primary,Good,Cornwall
TR18 3JT,2023,Mounts Bay Academy,45.1,136873,Penzance,Academy converter,Secondary,Good,Cornwall
TR12 7EB,2023,Mullion School,48.9,143993,Helston,Academy converter,Secondary,Good,Cornwall
TR20 8TP,2023,Nancealverne School,NE,143167,Penzance,Academy special converter,Primary,Good,Cornwall
TR7 3BH,2023,Newquay Tretherras,47.5,136533,Newquay,Academy converter,Secondary,Good,Cornwall
TR4 9NH,2023,Oak Tree School,9.3,140942,Truro,Other independent special school,Primary,Good,Cornwall
TR1 1TN,2023,Penair School,45.3,136567,Truro,Academy converter,Secondary,Good,Cornwall
TR1 1TE,2023,Pencalenick School,2.7,137478,Truro,Academy special converter,Primary,Good,Cornwall
PL25 3NR,2023,Penrice Academy,53.4,136573,St Austell,Academy converter,Secondary,Outstanding,Cornwall
TR10 8PZ,2023,Penryn College,49.0,136852,Penryn,Academy converter,Secondary,Good,Cornwall
PL25 4BZ,2023,Poltair School,44.1,147442,St Austell,Academy sponsor led,Secondary,Good,Cornwall
TR15 3PZ,2023,Pool Academy,37.9,136614,Redruth,Academy converter,Secondary,Requires improvement,Cornwall
PL30 5BT,2023,Red Moor School,SUPP,148038,Lanlivery,Other independent special school,Primary,Outstanding,Cornwall
TR15 1TA,2023,Redruth School,45.2,112054,Redruth,Foundation school,Secondary,Good,Cornwall
TR3 6LT,2023,Richard Lander School,49.5,112055,Truro,Community school,Secondary,Good,Cornwall
TR2 5SE,2023,The Roseland Academy,50.4,136572,Truro,Academy converter,Secondary,Outstanding,Cornwall
TR26 2BB,2023,St Ives School,47.4,140675,St Ives,Academy sponsor led,Secondary,Good,Cornwall
PL15 8HN,2023,St Josephs School,55.4,112071,Cornwall,Other independent school,Primary,Good,Cornwall
TR27 4HY,2023,St Piran's School (Gb) Ltd,SUPP,112082,Hayle,Other independent school,Primary,Good,Cornwall
PL12 4AY,2023,Saltash Community School,40.4,136575,Saltash,Academy converter,Secondary,Requires improvement,Cornwall
PL32 9UJ,2023,Sir James Smith's School,37.5,146408,Camelford,Academy converter,Secondary,Good,Cornwall
PL14 4DA,2023,Taliesin Education Ltd,SUPP,135405,NA,Other independent special school,Primary,Good,Cornwall
PL11 2NH,2023,Torpoint Community College,41.6,112041,Torpoint,Foundation school,Secondary,Good,Cornwall
TR7 3JA,2023,Treviglas Academy,45.7,145843,Newquay,Academy sponsor led,Secondary,Requires improvement,Cornwall
TR1 2HU,2023,Truro High School,45.9,112077,Truro,Other independent school,Primary,Good,Cornwall
TR1 1TH,2023,Truro School,34.8,112076,NA,Other independent school,Secondary,Good,Cornwall
PL27 6BU,2023,Wadebridge School,46.1,138024,Wadebridge,Academy converter,Secondary,Good,Cornwall
